recall,above 70,effort,number of docs,number of relevant
0.8333333333333334,True,0.402409638554,2075,24
0.7692307692307693,True,0.465156196361,971,26
0.9166666666666666,True,0.497435897436,65,12
0.6767676767676768,False,0.357466641129,5221,99
0.7922077922077922,True,0.439393939394,792,77
0.7282608695652174,True,0.419554455446,1616,92
0.6,False,0.353490440196,2249,25
0.6346153846153846,False,0.361576244697,5972,104
0.6086956521739131,False,0.361227336123,1912,46
0.6666666666666666,False,0.351817430814,6456,138
0.48214285714285715,False,0.363005503709,2786,56
0.6869565217391305,False,0.425494998979,6532,460
0.7115384615384616,True,0.399864222675,982,52
0.6296296296296297,False,0.357108199903,5496,54
0.6754385964912281,False,0.390537164272,12808,114
1.0,True,0.659211927583,626,2
0.75,True,0.616045845272,349,20
0.782608695652174,True,0.455072463768,115,23
0.6808510638297872,False,0.446898002103,317,47
0.8181818181818182,True,0.396694214876,242,11
1.0,True,0.515789473684,95,7
0.8333333333333334,True,0.462745098039,170,6
0.698019801980198,False,0.382200557957,10873,202

0.738049808293306,0.5217391304347826,0.429573734477
