recall,above 70,effort,number of docs,number of relevant
0.7916666666666666,True,0.393734939759,2075,24
0.5769230769230769,False,0.427394438723,971,26
0.9166666666666666,True,0.579487179487,65,12
0.7373737373737373,True,0.362701908957,5221,99
0.6363636363636364,False,0.40404040404,792,77
0.6956521739130435,False,0.416666666667,1616,92
0.84,True,0.403586779309,2249,25
0.6634615384615384,False,0.359790131726,5972,104
0.6739130434782609,False,0.368549511855,1912,46
0.7391304347826086,True,0.357187112763,6456,138
0.7142857142857143,True,0.392199090692,2786,56
0.6695652173913044,False,0.420596040008,6532,460
0.8269230769230769,True,0.416157501697,982,52
0.6296296296296297,False,0.361960213489,5496,54
0.5964912280701754,False,0.389548199042,12808,114
0.8,True,0.694364851958,349,20
0.8444444444444444,True,0.39764255071,8003,45
0.6956521739130435,False,0.449275362319,115,23
0.7659574468085106,True,0.484752891693,317,47
0.8181818181818182,True,0.399449035813,242,11
0.7142857142857143,True,0.466666666667,95,7
0.6881188118811881,False,0.383058953371,10873,202

0.7288493750201752,0.5454545454545454,0.424036837761
