% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,0.0,54,5495
2,1.83130953765e-16,109,5495
3,0.0,164,5495
4,5.85338912085e-12,219,5495
5,0.0,274,5495
6,2.65126733394e-08,329,5495
7,0.0,384,5495
8,3.40353426823e-05,439,5495
9,0.0,494,5495
10,0.00859953016018,549,5495
11,0.0,604,5495
12,0.769767932725,659,5495
13,0.0,714,5495
14,12.054810106,769,5495
15,0.0,824,5495
16,40.1284769864,879,5495
17,0.0,934,5495
18,31.5496260749,989,5495
19,0.0,1044,5495
20,5.85848053614,1099,5495
21,0.0,1153,5495
22,3.76218760954e-09,1208,5495
23,0.0,1263,5495
24,6.51107549324e-06,1318,5495
25,0.0,1373,5495
26,0.00266142510132,1428,5495
27,0.0,1483,5495
28,0.282629628263,1538,5495
29,0.0,1593,5495
30,8.20187275063,1648,5495
31,0.0,1703,5495
32,44.1694765049,1758,5495
33,0.0,1813,5495
34,56.1798677809,1868,5495
35,0.0,1923,5495
36,16.8767341484,1978,5495
37,0.0,2033,5495
38,1.19741678423,2088,5495
39,0.0,2143,5495
40,0.0214988254004,2198,5495
41,0.0,2252,5495
42,0.000673575112771,2307,5495
43,0.0,2362,5495
44,0.111774476923,2417,5495
45,0.0,2472,5495
46,4.12305906956,2527,5495
47,0.0,2582,5495
48,35.9207754232,2637,5495
49,0.0,2692,5495
50,73.9130434782,2747,5495
51,0.0,2802,5495
52,40.1467490021,2857,5495
53,0.0,2912,5495
54,4.60812484244,2967,5495
55,0.0,3022,5495
56,0.138074353847,3077,5495
57,0.0,3132,5495
58,0.000884067335512,3187,5495
59,0.0,3242,5495
60,1.33692457163e-06,3297,5495
61,0.0,3351,5495
62,1.79612517638,3406,5495
63,0.0,3461,5495
64,25.3151012226,3516,5495
65,0.0,3571,5495
66,84.2698016715,3626,5495
67,0.0,3681,5495
68,66.2542147571,3736,5495
69,0.0,3791,5495
70,12.3028091258,3846,5495
71,0.0,3901,5495
72,0.539565653959,3956,5495
73,0.0,4011,5495
74,0.00558899271268,4066,5495
75,0.0,4121,5495
76,1.43243660847e-05,4176,5495
77,0.0,4231,5495
78,8.2768127412e-09,4286,5495
79,0.0,4341,5495
80,1.1808785623e-12,4396,5495
81,0.0,4450,5495
82,72.564139972,4505,5495
83,0.0,4560,5495
84,92.2954970688,4615,5495
85,0.0,4670,5495
86,27.7260632438,4725,5495
87,0.0,4780,5495
88,1.96718471695,4835,5495
89,0.0,4890,5495
90,0.0329648656135,4945,5495
91,0.0,5000,5495
92,0.000130468813612,5055,5495
93,0.0,5110,5495
94,1.21958297356e-07,5165,5495
95,0.0,5220,5495
96,2.69255899541e-11,5275,5495
97,0.0,5330,5495
98,1.40400397891e-15,5385,5495
99,0.0,5440,5495
