recall,above 70,effort,number of docs,number of relevant
0.6666666666666666,False,0.396335583414,2074,24
0.8076923076923077,True,0.712714776632,970,26
0.4166666666666667,False,0.489583333333,64,12
0.8,True,0.421084356461,10507,45
0.6565656565656566,False,0.54061302682,5220,99
0.7142857142857143,True,0.455541508639,791,77
0.7391304347826086,True,0.503818369453,1615,92
0.64,False,0.420225385528,2248,25
0.6153846153846154,False,0.424440350583,5971,104
0.782608695652174,True,0.457177742892,1911,46
0.6739130434782609,False,0.356880970824,6455,138
0.8571428571428571,True,0.588988629563,2785,56
0.9,True,0.808878127522,2065,10
0.7282608695652174,True,0.492880110243,6531,460
0.75,True,0.437988447163,981,52
0.43478260869565216,False,0.508401577191,5495,23
0.6666666666666666,False,0.41025174401,5495,54
0.7719298245614035,True,0.544103485073,12807,114
1.0,True,0.620873269436,626,2
0.6,False,0.595785440613,348,20
0.25,False,0.333333333333,1573,4
0.7777777777777778,True,0.399983337499,8002,45
0.6521739130434783,False,0.549707602339,114,23
0.7872340425531915,True,0.491561181435,316,47
0.6363636363636364,False,0.524204702628,241,11
0.6,False,0.383279841052,10905,30
0.14285714285714285,False,0.333333333333,94,7
0.5,False,0.420118343195,169,6
0.7227722772277227,True,0.45407162129,10872,202
0.0,False,0.333397951601,10317,3

0.6430291805876472,0.4666666666666667,0.48031858277
