recall,above 70,effort,number of docs,number of relevant
0.6923076923076923,False,0.557388316151,970,26
1.0,True,0.788648090815,1615,92
0.96,True,0.690391459075,2248,25
0.9821428571428571,True,0.76947935368,2785,56
0.8,True,0.797578692494,2065,10
0.9814814814814815,True,0.722656960874,5495,54
0.956140350877193,True,0.751646235132,12807,114
0.5,False,0.375931842386,626,2
0.6,False,0.60153256705,348,20
1.0,True,0.742980921436,8002,45
0.9565217391304348,True,0.789473684211,114,23
1.0,True,0.729957805907,316,47
0.7272727272727273,True,0.532503457815,241,11
1.0,True,0.743481583372,10905,30
0.8571428571428571,True,0.602836879433,94,7
0.8333333333333334,True,0.692307692308,169,6
1.0,True,0.711414816969,10317,3

0.8733142963934457,0.8235294117647058,0.682365315242
