Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.02440603109844553 	 Effort:0.002040342236637293 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002145827468704804 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.002157796349614439 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.0022961089360598055 	 Reliablity:0.0
Recall:0.025115250956601557 	 Effort:0.0022961089360598055 	 Reliablity:0.0
