recall,above 70,effort,number of docs,number of relevant
0.625,False,0.390522088353,2075,24
0.8076923076923077,True,0.616889804325,971,26
0.3333333333333333,False,0.435897435897,65,12
0.8444444444444444,True,0.431480776551,10508,45
0.6464646464646465,False,0.532784268659,5221,99
0.7142857142857143,True,0.451178451178,792,77
0.7717391304347826,True,0.521864686469,1616,92
0.72,True,0.42344745813,2249,25
0.6538461538461539,False,0.433244027685,5972,104
0.8478260869565217,True,0.468967921897,1912,46
0.6521739130434783,False,0.3524370095,6456,138
0.875,True,0.596554199569,2786,56
0.9,True,0.959987092611,2066,10
0.7326086956521739,True,0.494998979384,6532,460
0.75,True,0.444670739986,982,52
0.7037037037037037,True,0.415817564289,5496,54
0.8070175438596491,True,0.562200707891,12808,114
1.0,True,0.530037214248,627,2
0.75,True,0.724928366762,349,20
0.7333333333333333,True,0.385480444833,8003,45
0.6521739130434783,False,0.530434782609,115,23
0.7659574468085106,True,0.484752891693,317,47
0.7272727272727273,True,0.559228650138,242,11
0.2857142857142857,False,0.340350877193,95,7
0.6666666666666666,False,0.43137254902,170,6
0.7178217821782178,True,0.450197737515,10873,202

0.7186183011051587,0.6923076923076923,0.498835643322
