recall,above 70,effort,number of docs,number of relevant
0.6666666666666666,False,0.396305220884,2075,24
0.8076923076923077,True,0.712324064538,971,26
0.4166666666666667,False,0.487179487179,65,12
0.8,True,0.421076005583,10508,45
0.6565656565656566,False,0.540573325672,5221,99
0.7012987012987013,True,0.450336700337,792,77
0.75,True,0.519389438944,1616,92
0.72,True,0.42344745813,2249,25
0.6442307692307693,False,0.430229962045,5972,104
0.7391304347826086,True,0.442119944212,1912,46
0.6159420289855072,False,0.349339116068,6456,138
0.875,True,0.596554199569,2786,56
0.9,True,0.959987092611,2066,10
0.7326086956521739,True,0.494998979384,6532,460
0.7307692307692307,True,0.437202987101,982,52
0.4782608695652174,False,0.521955361475,5496,23
0.7037037037037037,True,0.412663755459,5496,54
0.8070175438596491,True,0.560430980637,12808,114
1.0,True,0.530037214248,627,2
0.75,True,0.724928366762,349,20
0.25,False,0.333333333333,1574,4
0.7333333333333333,True,0.385480444833,8003,45
0.6521739130434783,False,0.530434782609,115,23
0.7659574468085106,True,0.484752891693,317,47
0.7272727272727273,True,0.559228650138,242,11
0.7333333333333333,True,0.394339507305,10906,30
0.8571428571428571,True,0.550877192982,95,7
0.6666666666666666,False,0.43137254902,170,6
0.7178217821782178,True,0.450197737515,10873,202
0.3333333333333333,False,0.333591781353,10318,3

0.697752955618377,0.6666666666666666,0.495489617721
