recall,above 70,effort,number of docs,number of relevant
0.6666666666666666,False,0.397269076305,2075,24
0.8076923076923077,True,0.706144867834,971,26
0.4166666666666667,False,0.497435897436,65,12
0.8,True,0.421202893034,10508,45
0.6565656565656566,False,0.540701015131,5221,99
0.7142857142857143,True,0.457070707071,792,77
0.7391304347826086,True,0.504537953795,1616,92
0.64,False,0.420483177709,2249,25
0.6153846153846154,False,0.424648359009,5972,104
0.782608695652174,True,0.457461645746,1912,46
0.6739130434782609,False,0.357187112763,6456,138
0.8571428571428571,True,0.588418281886,2786,56
0.8,True,0.790254920942,2066,10
0.7282608695652174,True,0.493059808124,6532,460
0.75,True,0.439239646979,982,52
0.6666666666666666,False,0.410359049005,5496,54
0.7719298245614035,True,0.544139079742,12808,114
1.0,True,0.619351408825,627,2
0.6,False,0.593123209169,349,20
0.7777777777777778,True,0.400141613562,8003,45
0.6956521739130435,False,0.553623188406,115,23
0.8085106382978723,True,0.49316508938,317,47
0.6363636363636364,False,0.526170798898,242,11
0.7142857142857143,True,0.529824561404,95,7
0.5,False,0.423529411765,170,6
0.7227722772277227,True,0.454367086667,10873,202

0.7131644706529454,0.5769230769230769,0.501650379253
