recall,above 70,effort,number of docs,number of relevant
0.6666666666666666,False,0.396305220884,2075,24
0.8076923076923077,True,0.711637487127,971,26
0.4166666666666667,False,0.487179487179,65,12
0.8,True,0.421076005583,10508,45
0.6565656565656566,False,0.540573325672,5221,99
0.7142857142857143,True,0.455387205387,792,77
0.7391304347826086,True,0.503712871287,1616,92
0.64,False,0.420186749667,2249,25
0.6153846153846154,False,0.424425094887,5972,104
0.782608695652174,True,0.457112970711,1912,46
0.6739130434782609,False,0.35687732342,6456,138
0.8571428571428571,True,0.588657573582,2786,56
0.9,True,0.808647950952,2066,10
0.7282608695652174,True,0.492855684834,6532,460
0.75,True,0.437881873727,982,52
0.43478260869565216,False,0.508369723435,5496,23
0.6666666666666666,False,0.410237748666,5496,54
0.7719298245614035,True,0.54408702894,12808,114
1.0,True,0.619351408825,627,2
0.6,False,0.595033428844,349,20
0.25,False,0.333333333333,1574,4
0.7777777777777778,True,0.399975009371,8003,45
0.6521739130434783,False,0.547826086957,115,23
0.7872340425531915,True,0.491062039958,317,47
0.6363636363636364,False,0.520661157025,242,11
0.6,False,0.383275261324,10906,30
0.7142857142857143,True,0.529824561404,95,7
0.5,False,0.419607843137,170,6
0.7227722772277227,True,0.454121830835,10873,202
0.0,False,0.333397945338,10318,3

0.6620767996352664,0.5,0.486422707743
