recall,above 70,effort,number of docs,number of relevant
1,True,1.0,2075,24
0.6153846153846154,False,0.441924398625,970,26
1,True,1.0,65,12
0.7272727272727273,True,0.59931047692,5221,99
0.6363636363636364,False,0.503367003367,792,77
0.7282608695652174,True,0.655115511551,1616,92
0.8,True,0.575730603768,2247,25
1,True,1.0,5971,104
0.6956521739130435,False,0.546834118263,1911,46
0.6594202898550725,False,0.430400660884,6456,138
0.75,True,0.644173247188,2786,56
0.6652173913043479,False,0.457134109002,6532,460
0.6730769230769231,False,0.56914712878,981,52
0.5185185185185185,False,0.48816891154,5494,54
1,True,1.0,6442,52
1,True,1.0,349,20
0.6,False,0.636712077657,8001,45
1,True,1.00579710145,115,23
1,True,1.0,317,47
1,True,1.0,242,11
0.0,False,0.40350877193,95,7
1,True,1.0,170,6
0.594059405940594,False,0.683193818416,10871,202

0.7679663717910736,0.5652173913043478,0.723500779971
