recall,above 70,effort,number of docs,number of relevant
1,True,1.0,2075,24
0.5,False,0.428178694158,970,26
1,True,1.0,65,12
0.7171717171717171,True,0.590627593692,5221,99
0.5974025974025974,False,0.491582491582,792,77
0.6739130434782609,False,0.636551155116,1616,92
0.8,True,0.559412550067,2247,25
1,True,1.0,5971,104
0.6304347826086957,False,0.525553811268,1911,46
0.6521739130434783,False,0.42585708385,6456,138
0.6964285714285714,False,0.620722660924,2786,56
0.6543478260869565,False,0.453459889773,6532,460
0.6153846153846154,False,0.536527353041,981,52
0.5185185185185185,False,0.482587064677,5494,54
1,True,1.0,6442,52
1,True,1.0,349,20
0.5777777777777777,False,0.624213639962,8001,45
1,True,1.0,115,23
1,True,1.0,317,47
1,True,1.0,242,11
1,True,1.0,95,7
1,True,1.0,170,6
0.5594059405940595,False,0.667555882623,10871,202

0.79099823058675,0.5217391304347826,0.740992603075
