recall,above 70,effort,number of docs,number of relevant
0.6666666666666666,False,0.404016064257,2075,24
0.8076923076923077,True,0.758324751116,971,26
0.6666666666666666,False,0.558974358974,65,12
0.6666666666666666,False,0.543637872694,5221,99
0.7272727272727273,True,0.462121212121,792,77
0.7391304347826086,True,0.509900990099,1616,92
0.72,True,0.423743886172,2249,25
0.625,False,0.425541415495,5972,104
0.782608695652174,True,0.461645746165,1912,46
0.6811594202898551,False,0.357703428335,6456,138
0.8928571428571429,True,0.600382866715,2786,56
0.7282608695652174,True,0.493774239641,6532,460
0.75,True,0.44399185336,982,52
0.6851851851851852,False,0.411814653081,5496,54
0.7719298245614035,True,0.546429315011,12808,114
0.7,False,0.703915950334,349,20
0.7777777777777778,True,0.401391144987,8003,45
0.6956521739130435,False,0.588405797101,115,23
0.8297872340425532,True,0.50578338591,317,47
0.7272727272727273,True,0.553719008264,242,11
1.0,True,0.691228070175,95,7
0.6666666666666666,False,0.439215686275,170,6
0.7227722772277227,True,0.455715993746,10873,202

0.740479368033005,0.6086956521739131,0.510494682175
