recall,above 70,effort,number of docs,number of relevant
0.5833333333333334,False,0.389236947791,2075,24
0.8076923076923077,True,0.669756265019,971,26
0.25,False,0.425641025641,65,12
0.6565656565656566,False,0.537381089191,5221,99
0.6883116883116883,False,0.448653198653,792,77
0.7282608695652174,True,0.497524752475,1616,92
0.64,False,0.416629613161,2249,25
0.6153846153846154,False,0.423420406341,5972,104
0.782608695652174,True,0.452231520223,1912,46
0.6739130434782609,False,0.356051218505,6456,138
0.8571428571428571,True,0.57765015554,2786,56
0.7239130434782609,True,0.492039191672,6532,460
0.6923076923076923,False,0.43245078072,982,52
0.6481481481481481,False,0.40866084425,5496,54
0.7719298245614035,True,0.541744742869,12808,114
0.5,False,0.516714422159,349,20
0.7777777777777778,True,0.398642175851,8003,45
0.6086956521739131,False,0.513043478261,115,23
0.7446808510638298,True,0.478443743428,317,47
0.5454545454545454,False,0.490358126722,242,11
0.7142857142857143,True,0.438596491228,95,7
0.3333333333333333,False,0.396078431373,170,6
0.7178217821782178,True,0.452466353965,10873,202

0.6548504970386498,0.43478260869565216,0.467539781523
