recall,above 70,effort,number of docs,number of relevant
1,True,1.0,2075,24
1,True,1.0,971,26
1,True,1.0,65,12
0.4444444444444444,False,0.645917129541,5221,99
0.7532467532467533,True,0.809764309764,792,77
1,True,1.0,1616,92
1,True,1.0,2249,25
1,True,1.0,5972,104
0.6521739130434783,False,0.726290097629,1912,46
1,True,1.0,6456,138
0.5535714285714286,False,0.719310839914,2786,56
1,True,1.0,6532,460
1,True,1.0,982,52
0.7222222222222222,True,0.75327510917,5496,54
1,True,1.0,12808,114
1,True,1.0,349,20
1,True,1.0,8003,45
1,True,1.0,115,23
1,True,1.0,317,47
0.7272727272727273,True,0.763085399449,242,11
1,True,1.0,95,7
0.3333333333333333,False,0.862745098039,170,6
0.7079207920792079,True,0.791042030718,10873,202

0.8649645919223302,0.8260869565217391,0.916149131053
