recall,above 70,effort,number of docs,number of relevant
1,True,1.0,2075,24
1,True,1.0,971,26
1,True,1.0,65,12
0.43434343434343436,False,0.638638830365,5221,99
1.0,True,0.999158249158,792,77
1,True,1.0,1616,92
1,True,1.0,2249,25
1,True,1.0,5972,104
0.6086956521739131,False,0.6970013947,1912,46
1,True,1.0,6456,138
0.5357142857142857,False,0.692031586504,2786,56
1,True,1.0,6532,460
1,True,1.0,982,52
0.48148148148148145,False,0.645075206211,5496,54
1,True,1.0,12808,114
1,True,1.0,349,20
1,True,1.0,8003,45
1,True,1.0,115,23
1,True,1.0,317,47
0.18181818181818182,False,0.484848484848,242,11
1,True,1.0,95,7
1,True,1.0,170,6
1,True,1.0,10873,202

0.8800892624144041,0.782608695652174,0.919858858773
