recall,above 70,effort,number of docs,number of relevant
0.625,False,0.421044176707,2075,24
0.8076923076923077,True,0.493992447648,971,26
0.9166666666666666,True,0.6,65,12
0.7272727272727273,True,0.363723424631,5221,99
0.6623376623376623,False,0.427609427609,792,77
0.6739130434782609,False,0.413778877888,1616,92
0.64,False,0.368904698384,2249,25
0.7307692307692307,True,0.360125027908,5972,104
0.6956521739130435,False,0.383542538354,1912,46
0.6594202898550725,False,0.35078479967,6456,138
0.6964285714285714,False,0.385259631491,2786,56
0.6934782608695652,False,0.423657889365,6532,460
0.7307692307692307,True,0.401900882553,982,52
0.6851851851851852,False,0.358442503639,5496,54
0.7807017543859649,True,0.395553472873,12804,114
1.0,True,0.528973950027,627,2
0.7,False,0.577841451767,349,20
0.5,False,0.351969504447,1574,4
0.6666666666666666,False,0.353159231955,8003,45
0.782608695652174,True,0.472463768116,115,23
0.6382978723404256,False,0.423764458465,317,47
0.7272727272727273,True,0.402203856749,242,11
0.8571428571428571,True,0.417543859649,95,7
0.7326732673267327,True,0.386002023361,10873,202

0.722081216292711,0.4583333333333333,0.419260079302
