recall,above 70,effort,number of docs,number of relevant
0.5833333333333334,False,0.410120481928,2075,24
0.6153846153846154,False,0.467902506008,971,26
0.6666666666666666,False,0.446153846154,65,12
0.7171717171717171,True,0.362829598417,5221,99
0.5714285714285714,False,0.414983164983,792,77
0.6739130434782609,False,0.410066006601,1616,92
0.64,False,0.362086853416,2249,25
0.6923076923076923,False,0.359343603483,5972,104
0.6086956521739131,False,0.379009762901,1912,46
0.6594202898550725,False,0.350475010326,6456,138
0.6785714285714286,False,0.382627422828,2786,56
0.6891304347826087,False,0.422943457849,6532,460
0.6730769230769231,False,0.396469789545,982,52
0.6851851851851852,False,0.357472100922,5496,54
0.7719298245614035,True,0.393210455066,12804,114
0.6,False,0.522445081184,349,20
0.6666666666666666,False,0.351576492149,8003,45
0.6956521739130435,False,0.43768115942,115,23
0.5531914893617021,False,0.413249211356,317,47
0.5454545454545454,False,0.37741046832,242,11
0.5714285714285714,False,0.389473684211,95,7
1,True,1.0,170,6
0.7326732673267327,True,0.38471443024,10873,202

0.6648383518316805,0.17391304347826086,0.425749764665
