recall,above 70,effort,number of docs,number of relevant
0.625,False,0.43453815261,2075,24
0.6923076923076923,False,0.456917267422,971,26
0.4166666666666667,False,0.384615384615,65,12
0.6222222222222222,False,0.339994924502,10508,45
0.7373737373737373,True,0.363851114091,5221,99
0.7402597402597403,True,0.445286195286,792,77
0.717391304347826,True,0.420379537954,1616,92
0.68,False,0.370386838595,2249,25
0.6826923076923077,False,0.357110962268,5972,104
0.6304347826086957,False,0.382845188285,1912,46
0.6884057971014492,False,0.353572903759,6456,138
0.7678571428571429,True,0.392438382388,2786,56
0.8,True,0.357857373346,2066,10
0.6869565217391305,False,0.423657889365,6532,460
0.7115384615384616,True,0.393754243041,982,52
0.7407407407407407,True,0.366569626395,5496,54
0.6228070175438597,False,0.375039050297,12804,114
0.75,True,0.56064947469,349,20
0.75,True,0.354934349852,1574,4
0.7333333333333333,True,0.361739347745,8003,45
0.5652173913043478,False,0.408695652174,115,23
0.6382978723404256,False,0.423764458465,317,47
0.6363636363636364,False,0.371900826446,242,11
0.8571428571428571,True,0.431578947368,95,7
0.8333333333333334,True,0.517647058824,170,6
0.6683168316831684,False,0.37263558049,10873,202

0.6921022842500297,0.46153846153846156,0.400860028087
