% of Docs Looked at,% of Docs Returned,Number of Documents,Total Number of Documents	Sample Rate:10
1,5.0,3,348
2,10.0,6,348
3,20.0,10,348
4,20.0,13,348
5,20.0,17,348
6,25.0,20,348
7,30.0,24,348
8,30.0,27,348
9,35.0,31,348
10,35.0,34,348
11,35.0,38,348
12,40.0,41,348
13,40.0,45,348
14,40.0,48,348
15,45.0,52,348
16,50.0,55,348
17,50.0,59,348
18,50.0,62,348
19,50.0,66,348
20,50.0,69,348
21,50.0,73,348
22,50.0,76,348
23,50.0,80,348
24,50.0,83,348
25,50.0,87,348
26,50.0,90,348
27,50.0,93,348
28,50.0,97,348
29,50.0,100,348
30,50.0,104,348
31,50.0,107,348
32,55.00000000000001,111,348
33,55.00000000000001,114,348
34,55.00000000000001,118,348
35,55.00000000000001,121,348
36,55.00000000000001,125,348
37,60.0,128,348
38,60.0,132,348
39,60.0,135,348
40,60.0,139,348
41,60.0,142,348
42,60.0,146,348
43,60.0,149,348
44,60.0,153,348
45,65.0,156,348
46,65.0,160,348
47,65.0,163,348
48,65.0,167,348
49,65.0,170,348
50,65.0,174,348
51,65.0,177,348
52,65.0,180,348
53,65.0,184,348
54,65.0,187,348
55,70.0,191,348
56,70.0,194,348
57,70.0,198,348
58,70.0,201,348
59,75.0,205,348
60,75.0,208,348
61,80.0,212,348
62,80.0,215,348
63,80.0,219,348
64,80.0,222,348
65,80.0,226,348
66,80.0,229,348
67,85.0,233,348
68,85.0,236,348
69,85.0,240,348
70,85.0,243,348
71,85.0,247,348
72,85.0,250,348
73,85.0,254,348
74,85.0,257,348
75,85.0,261,348
76,85.0,264,348
77,90.0,267,348
78,90.0,271,348
79,90.0,274,348
80,90.0,278,348
81,90.0,281,348
82,90.0,285,348
83,90.0,288,348
84,95.0,292,348
85,95.0,295,348
86,95.0,299,348
87,95.0,302,348
88,95.0,306,348
89,95.0,309,348
90,95.0,313,348
91,95.0,316,348
92,95.0,320,348
93,95.0,323,348
94,95.0,327,348
95,95.0,330,348
96,95.0,334,348
97,95.0,337,348
98,95.0,341,348
99,95.0,344,348
