recall,above 70,effort,number of docs,number of relevant
0.625,False,0.414618473896,2075,24
0.7692307692307693,True,0.478201167182,971,26
0.9166666666666666,True,0.497435897436,65,12
0.7171717171717171,True,0.363212666794,5221,99
0.5844155844155844,False,0.419191919192,792,77
0.6739130434782609,False,0.411303630363,1616,92
0.64,False,0.364754705795,2249,25
0.7115384615384616,True,0.359678499665,5972,104
0.6521739130434783,False,0.380753138075,1912,46
0.6594202898550725,False,0.350578273441,6456,138
0.6785714285714286,False,0.383823881311,2786,56
0.6934782608695652,False,0.423249642784,6532,460
0.7307692307692307,True,0.399185336049,982,52
0.6851851851851852,False,0.35795730228,5496,54
0.7719298245614035,True,0.394147662189,12804,114
0.5,False,0.494949494949,627,2
0.7,False,0.545367717287,349,20
0.5,False,0.349428208386,1574,4
0.6666666666666666,False,0.352242908909,8003,45
0.7391304347826086,True,0.449275362319,115,23
0.574468085106383,False,0.4174553102,317,47
0.6363636363636364,False,0.385674931129,242,11
0.5714285714285714,False,0.39649122807,95,7
0.7326732673267327,True,0.385204941905,10873,202

0.6720914598763094,0.3333333333333333,0.407257595817
