recall,above 70,effort,number of docs,number of relevant
0.625,False,0.442570281124,2075,24
0.7307692307692307,True,0.467215928596,971,26
0.6666666666666666,False,0.415384615385,65,12
0.6444444444444445,False,0.340058368227,10508,45
0.7474747474747475,True,0.364234182468,5221,99
0.7532467532467533,True,0.45202020202,792,77
0.7282608695652174,True,0.42202970297,1616,92
0.68,False,0.375129687268,2249,25
0.6826923076923077,False,0.35733422639,5972,104
0.6739130434782609,False,0.385634588563,1912,46
0.6956521739130435,False,0.353882693102,6456,138
0.7678571428571429,True,0.394352715961,2786,56
0.8,True,0.362374959664,2066,10
0.691304347826087,False,0.424168197591,6532,460
0.7307692307692307,True,0.397827562797,982,52
0.6086956521739131,False,0.356380397865,5496,23
0.7407407407407407,True,0.368025230471,5496,54
0.6228070175438597,False,0.375663855045,12804,114
0.5,False,0.347155768208,627,2
0.8,True,0.612225405922,349,20
0.75,True,0.357475645913,1574,4
0.7555555555555555,True,0.36282227498,8003,45
0.6521739130434783,False,0.420289855072,115,23
0.6808510638297872,False,0.43007360673,317,47
0.7272727272727273,True,0.374655647383,242,11
0.6666666666666666,False,0.34482547833,10906,30
0.8571428571428571,True,0.473684210526,95,7
0.8333333333333334,True,0.592156862745,170,6
0.6683168316831684,False,0.373187406113,10873,202
0.6666666666666666,False,0.361956451509,10318,3

0.7049424661451962,0.4666666666666667,0.403493200298
