recall,above 70,effort,number of docs,number of relevant
0.6666666666666666,False,0.443855421687,2075,24
0.7307692307692307,True,0.469275660831,971,26
0.75,True,0.425641025641,65,12
0.6444444444444445,False,0.340058368227,10508,45
0.7575757575757576,True,0.364361871927,5221,99
0.7662337662337663,True,0.454545454545,792,77
0.7282608695652174,True,0.422442244224,1616,92
0.68,False,0.376315399437,2249,25
0.6826923076923077,False,0.357445858451,5972,104
0.6739130434782609,False,0.385983263598,1912,46
0.6956521739130435,False,0.353882693102,6456,138
0.7678571428571429,True,0.394592007657,2786,56
0.8,True,0.363343013875,2066,10
0.6934782608695652,False,0.424270259237,6532,460
0.7307692307692307,True,0.398506449423,982,52
0.7407407407407407,True,0.36838913149,5496,54
0.6228070175438597,False,0.375715922108,12804,114
0.8,True,0.608404966571,349,20
0.75,True,0.357475645913,1574,4
0.7555555555555555,True,0.36298887917,8003,45
0.7391304347826086,True,0.431884057971,115,23
0.6808510638297872,False,0.432176656151,317,47
0.8181818181818182,True,0.37741046832,242,11
0.8571428571428571,True,0.487719298246,95,7
0.8333333333333334,True,0.592156862745,170,6
0.6683168316831684,False,0.373310034029,10873,202

0.7320912518318601,0.6153846153846154,0.413159650561
