recall,above 70,effort,number of docs,number of relevant
0.8333333333333334,True,0.396305220884,2075,24
1.0,True,0.712324064538,971,26
0.8333333333333334,True,0.487179487179,65,12
0.9777777777777777,True,0.421076005583,10508,45
1.0,True,0.540573325672,5221,99
0.8051948051948052,True,0.455387205387,792,77
0.9021739130434783,True,0.503712871287,1616,92
0.84,True,0.420186749667,2249,25
0.9519230769230769,True,0.424425094887,5972,104
0.9782608695652174,True,0.457112970711,1912,46
0.7101449275362319,True,0.35687732342,6456,138
1.0,True,0.588896865279,2786,56
0.9,True,0.808647950952,2066,10
0.8456521739130435,True,0.492855684834,6532,460
0.9038461538461539,True,0.437881873727,982,52
0.9565217391304348,True,0.508369723435,5496,23
0.8703703703703703,True,0.410237748666,5496,54
0.9473684210526315,True,0.54408702894,12808,114
1.0,True,0.620873269436,626,2
0.75,True,0.595033428844,349,20
0.25,False,0.333333333333,1574,4
0.8666666666666667,True,0.399975009371,8003,45
1.0,True,0.547826086957,115,23
0.851063829787234,True,0.491062039958,317,47
1.0,True,0.523415977961,242,11
0.9333333333333333,True,0.383275261324,10906,30
0.0,False,0.333333333333,95,7
0.6666666666666666,False,0.419607843137,170,6
0.8811881188118812,True,0.454060516877,10873,202
0.0,False,0.333397945338,10318,3

0.8151606503428557,0.8666666666666667,0.480044374697
