recall,above 70,effort,number of docs,number of relevant
0.625,False,0.298698795181,2075,24
0.7692307692307693,True,0.377136972194,971,26
0.9166666666666666,True,0.409230769231,65,12
0.8222222222222222,True,0.216063951275,10508,45
0.7171717171717171,True,0.236008427504,5221,99
0.6103896103896104,False,0.306060606061,792,77
0.6739130434782609,False,0.294059405941,1616,92
0.64,False,0.238417074255,2249,25
0.7115384615384616,True,0.231614199598,5972,104
0.6521739130434783,False,0.257322175732,1912,46
0.6594202898550725,False,0.220817843866,6456,138
0.6785714285714286,False,0.260588657574,2786,56
0.3,False,0.205421103582,2066,10
0.6934782608695652,False,0.308022045315,6532,460
0.7307692307692307,True,0.279022403259,982,52
0.6521739130434783,False,0.238573508006,5496,23
0.6851851851851852,False,0.229548762737,5496,54
0.7719298245614035,True,0.273289597001,12804,114
0.5,False,0.39649122807,627,2
0.7,False,0.459025787966,349,20
0.5,False,0.219822109276,1574,4
0.6666666666666666,False,0.222791453205,8003,45
0.782608695652174,True,0.346086956522,115,23
0.574468085106383,False,0.30094637224,317,47
0.7272727272727273,True,0.269421487603,242,11
0.8666666666666667,True,0.241665138456,10906,30
0.7142857142857143,True,0.284210526316,95,7
0.8333333333333334,True,0.425882352941,170,6
0.7326732673267327,True,0.262466660535,10873,202
0.0,False,0.2,10318,3

0.6635936564302315,0.43333333333333335,0.283623545715
